,dataset,factors,n_cluster,linkage,silhouette_score,n_elements,eveness
0,df_datos_std_clus,"['F1', 'F2']",2,ward,0.4139561050326576,"{0: 54, 1: 17}",0.7941021417852021
1,df_datos_std_clus,"['F1', 'F2']",2,complete,0.3763862550622568,"{0: 46, 1: 25}",0.935940714955517
2,df_datos_std_clus,"['F1', 'F2']",2,average,0.5583380574225799,"{1: 67, 0: 4}",0.31273337639664334
3,df_datos_std_clus,"['F1', 'F2']",2,single,0.46134229876599675,"{0: 70, 1: 1}",0.10679203237584188
4,df_datos_std_clus,"['F1', 'F2']",3,ward,0.46576667897331675,"{0: 50, 1: 17, 2: 4}",0.6838244843161386
5,df_datos_std_clus,"['F1', 'F2']",3,complete,0.39552141317055656,"{2: 36, 1: 25, 0: 10}",0.8992887017353743
6,df_datos_std_clus,"['F1', 'F2']",3,average,0.5001003542000797,"{0: 67, 1: 3, 2: 1}",0.2261499474354992
7,df_datos_std_clus,"['F1', 'F2']",3,single,0.5001003542000797,"{2: 67, 0: 3, 1: 1}",0.2261499474354992
8,df_datos_std_clus,"['F1', 'F2']",4,ward,0.3844052786061218,"{3: 27, 0: 23, 1: 17, 2: 4}",0.8924034481398008
9,df_datos_std_clus,"['F1', 'F2']",4,complete,0.39691598540269135,"{2: 36, 0: 25, 1: 7, 3: 3}",0.7747321741688337
10,df_datos_std_clus,"['F1', 'F2']",4,average,0.4524592900412002,"{0: 50, 1: 17, 3: 3, 2: 1}",0.564770987272373
11,df_datos_std_clus,"['F1', 'F2']",4,single,0.4259955153437994,"{2: 67, 0: 2, 3: 1, 1: 1}",0.19862020932508226
12,df_datos_std_clus,"['F1', 'F2']",5,ward,0.36074676691191593,"{1: 27, 0: 17, 4: 13, 3: 10, 2: 4}",0.9064723533635336
13,df_datos_std_clus,"['F1', 'F2']",5,complete,0.3667316030314809,"{2: 36, 1: 19, 0: 7, 4: 6, 3: 3}",0.7878831875597231
14,df_datos_std_clus,"['F1', 'F2']",5,average,0.3871221345043828,"{1: 40, 0: 17, 4: 10, 3: 3, 2: 1}",0.7054232406995744
15,df_datos_std_clus,"['F1', 'F2']",5,single,0.4191935210386959,"{0: 67, 4: 1, 3: 1, 1: 1, 2: 1}",0.18321387026212296
16,df_datos_std_clus,"['F1', 'F2']",6,ward,0.3693169350394958,"{0: 27, 4: 13, 1: 10, 5: 9, 3: 8, 2: 4}",0.9066291142415643
17,df_datos_std_clus,"['F1', 'F2']",6,complete,0.3419781319852207,"{0: 36, 1: 19, 4: 6, 2: 6, 3: 3, 5: 1}",0.7302783092885304
18,df_datos_std_clus,"['F1', 'F2']",6,average,0.34308613521360865,"{0: 40, 2: 14, 4: 10, 1: 3, 3: 3, 5: 1}",0.6959149462786014
19,df_datos_std_clus,"['F1', 'F2']",6,single,0.3063445125260993,"{0: 66, 4: 1, 3: 1, 1: 1, 5: 1, 2: 1}",0.20542447238572517
20,df_datos_std_clus,"['F1', 'F2']",7,ward,0.39054129294711626,"{2: 20, 4: 13, 1: 10, 5: 9, 3: 8, 6: 7, 0: 4}",0.9466465719343731
21,df_datos_std_clus,"['F1', 'F2']",7,complete,0.2908124451694083,"{2: 22, 1: 19, 0: 14, 4: 6, 6: 6, 3: 3, 5: 1}",0.8465515690261416
22,df_datos_std_clus,"['F1', 'F2']",7,average,0.3440593702455889,"{4: 33, 2: 14, 1: 10, 6: 7, 0: 3, 3: 3, 5: 1}",0.7750442782760637
23,df_datos_std_clus,"['F1', 'F2']",7,single,0.18501116198036321,"{0: 65, 6: 1, 4: 1, 3: 1, 1: 1, 5: 1, 2: 1}",0.22665883558880215
24,df_datos_std_clus,"['F1', 'F2']",8,ward,0.3961726102283856,"{0: 20, 4: 13, 1: 10, 5: 9, 3: 8, 6: 7, 2: 3, 7: 1}",0.9010929076658679
25,df_datos_std_clus,"['F1', 'F2']",8,complete,0.3108292912560773,"{2: 22, 0: 19, 3: 7, 7: 7, 4: 6, 6: 6, 1: 3, 5: 1}",0.8579179375575585
26,df_datos_std_clus,"['F1', 'F2']",8,average,0.33069799495515056,"{4: 33, 2: 14, 0: 10, 6: 7, 1: 3, 3: 2, 5: 1, 7: 1}",0.7382085339519094
27,df_datos_std_clus,"['F1', 'F2']",8,single,0.1397224325572091,"{0: 64, 7: 1, 6: 1, 4: 1, 3: 1, 1: 1, 5: 1, 2: 1}",0.24709880509311002
28,df_datos_std_clus,"['F1', 'F2']",9,ward,0.3971358632391611,"{8: 13, 4: 13, 0: 10, 5: 9, 1: 8, 6: 7, 3: 7, 2: 3, 7: 1}",0.9357939016618686
29,df_datos_std_clus,"['F1', 'F2']",9,complete,0.28734370559633426,"{0: 22, 2: 11, 8: 8, 3: 7, 7: 7, 4: 6, 6: 6, 1: 3, 5: 1}",0.8948245456935614
30,df_datos_std_clus,"['F1', 'F2']",9,average,0.31657497425518255,"{1: 33, 2: 14, 4: 9, 6: 7, 0: 3, 3: 2, 8: 1, 5: 1, 7: 1}",0.719474851368711
31,df_datos_std_clus,"['F1', 'F2']",9,single,0.19404740499540332,"{1: 60, 0: 4, 7: 1, 6: 1, 4: 1, 8: 1, 3: 1, 5: 1, 2: 1}",0.32976569830228547
32,df_datos_std_clus,"['F1', 'F3']",2,ward,0.7719553162307309,"{0: 69, 1: 2}",0.1851247601005459
33,df_datos_std_clus,"['F1', 'F3']",2,complete,0.7719553162307309,"{1: 69, 0: 2}",0.1851247601005459
